date,time_idx,group_id,city_id,hospital_id_enc,hospital_beds,staff_count,population_density,admissions,lag_1_admissions,lag_7_admissions,rolling_14_admissions,aqi,temp,humidity,rainfall,wind_speed,mobility_index,outbreak_index,festival_flag,holiday_flag,weekday,is_weekend,aqi_forecast_1,temp_forecast_1,rainfall_forecast_1,aqi_forecast_2,temp_forecast_2,rainfall_forecast_2,aqi_forecast_3,temp_forecast_3,rainfall_forecast_3,aqi_forecast_4,temp_forecast_4,rainfall_forecast_4,aqi_forecast_5,temp_forecast_5,rainfall_forecast_5,aqi_forecast_6,temp_forecast_6,rainfall_forecast_6,aqi_forecast_7,temp_forecast_7,rainfall_forecast_7
2025-07-23,55,NOIH1,4,0,68,24,9000,144,156,139,148.57,206,27.62,58.95,7,2.46,91,0.0,0,0,2,0,205,27.67,7,204,27.73,7,189,27.79,8,188,27.86,8,203,27.92,8,202,27.98,8,202,28.03,8
2025-07-24,56,NOIH1,4,0,68,24,9000,137,144,139,148.5,205,27.67,58.69,7,2.43,91,0.0,0,0,3,0,204,27.73,7,189,27.79,8,188,27.86,8,203,27.92,8,202,27.98,8,202,28.03,8,201,28.09,8
2025-07-25,57,NOIH1,4,0,68,24,9000,128,137,148,147.71,204,27.73,58.43,7,2.41,91,0.0,0,0,4,0,189,27.79,8,188,27.86,8,203,27.92,8,202,27.98,8,202,28.03,8,201,28.09,8,201,28.13,8
2025-07-26,58,NOIH1,4,0,68,24,9000,124,128,125,147.29,189,27.79,58.18,8,2.39,81,0.0,0,0,5,1,188,27.86,8,203,27.92,8,202,27.98,8,202,28.03,8,201,28.09,8,201,28.13,8,185,28.16,8
2025-07-27,59,NOIH1,4,0,68,24,9000,124,124,131,140.14,188,27.86,57.92,8,2.36,81,0.0,0,0,6,1,203,27.92,8,202,27.98,8,202,28.03,8,201,28.09,8,201,28.13,8,185,28.16,8,184,28.19,8
2025-07-28,60,NOIH1,4,0,68,24,9000,124,124,155,137.79,203,27.92,57.67,8,2.34,91,0.0,0,1,0,0,202,27.98,8,202,28.03,8,201,28.09,8,201,28.13,8,185,28.16,8,184,28.19,8,199,28.21,8
2025-07-29,61,NOIH1,4,0,68,24,9000,148,124,156,137.29,202,27.98,57.41,8,2.32,91,0.0,0,0,1,0,202,28.03,8,201,28.09,8,201,28.13,8,185,28.16,8,184,28.19,8,199,28.21,8,198,28.21,8
2025-07-30,62,NOIH1,4,0,68,24,9000,138,148,144,137.21,202,28.03,57.16,8,2.29,91,0.0,0,0,2,0,201,28.09,8,201,28.13,8,185,28.16,8,184,28.19,8,199,28.21,8,198,28.21,8,198,28.2,8
2025-07-31,63,NOIH1,4,0,68,24,9000,145,138,137,137.64,201,28.09,56.91,8,2.27,91,0.0,0,0,3,0,201,28.13,8,185,28.16,8,184,28.19,8,199,28.21,8,198,28.21,8,198,28.2,8,197,28.18,8
2025-08-01,64,NOIH1,4,0,68,24,9000,147,145,128,137.57,201,28.13,56.65,8,2.25,91,0.0,0,0,4,0,185,28.16,8,184,28.19,8,199,28.21,8,198,28.21,8,198,28.2,8,197,28.18,8,196,28.15,9
2025-08-02,65,NOIH1,4,0,68,24,9000,113,147,124,136.71,185,28.16,56.4,8,2.23,81,0.0,0,0,5,1,184,28.19,8,199,28.21,8,198,28.21,8,198,28.2,8,197,28.18,8,196,28.15,9,181,28.11,9
2025-08-03,66,NOIH1,4,0,68,24,9000,111,113,124,135.29,184,28.19,56.15,8,2.2,81,0.0,0,0,6,1,199,28.21,8,198,28.21,8,198,28.2,8,197,28.18,8,196,28.15,9,181,28.11,9,180,28.05,9
2025-08-04,67,NOIH1,4,0,68,24,9000,144,111,124,134.5,199,28.21,55.9,8,2.18,91,0.0,0,0,0,0,198,28.21,8,198,28.2,8,197,28.18,8,196,28.15,9,181,28.11,9,180,28.05,9,194,27.98,9
2025-08-05,68,NOIH1,4,0,68,24,9000,142,144,148,133.5,198,28.21,55.65,8,2.16,91,0.0,0,0,1,0,198,28.2,8,197,28.18,8,196,28.15,9,181,28.11,9,180,28.05,9,194,27.98,9,193,27.91,9
2025-08-06,69,NOIH1,4,0,68,24,9000,143,142,138,133.43,198,28.2,55.41,8,2.14,91,0.0,0,0,2,0,197,28.18,8,196,28.15,9,181,28.11,9,180,28.05,9,194,27.98,9,193,27.91,9,192,27.82,9
2025-08-07,70,NOIH1,4,0,68,24,9000,146,143,145,134.07,197,28.18,55.16,8,2.12,91,0.0,0,0,3,0,196,28.15,9,181,28.11,9,180,28.05,9,194,27.98,9,193,27.91,9,192,27.82,9,191,27.72,9
2025-08-08,71,NOIH1,4,0,68,24,9000,138,146,147,134.79,196,28.15,54.92,9,2.1,91,0.0,0,0,4,0,181,28.11,9,180,28.05,9,194,27.98,9,193,27.91,9,192,27.82,9,191,27.72,9,190,27.61,9
2025-08-09,72,NOIH1,4,0,68,24,9000,114,138,113,134.07,181,28.11,54.68,9,2.08,81,0.0,0,0,5,1,180,28.05,9,194,27.98,9,193,27.91,9,192,27.82,9,191,27.72,9,190,27.61,9,174,27.5,9
2025-08-10,73,NOIH1,4,0,68,24,9000,117,114,111,133.57,180,28.05,54.44,9,2.06,81,0.0,0,0,6,1,194,27.98,9,193,27.91,9,192,27.82,9,191,27.72,9,190,27.61,9,174,27.5,9,173,27.39,9
2025-08-11,74,NOIH1,4,0,68,24,9000,146,117,144,135.14,194,27.98,54.2,9,2.04,91,0.0,0,0,0,0,193,27.91,9,192,27.82,9,191,27.72,9,190,27.61,9,174,27.5,9,173,27.39,9,187,27.27,9
2025-08-12,75,NOIH1,4,0,68,24,9000,133,146,142,134.07,193,27.91,53.96,9,2.02,91,0.0,0,0,1,0,192,27.82,9,191,27.72,9,190,27.61,9,174,27.5,9,173,27.39,9,187,27.27,9,186,27.15,9
2025-08-13,76,NOIH1,4,0,68,24,9000,143,133,143,134.43,192,27.82,53.73,9,2.0,91,0.0,0,0,2,0,191,27.72,9,190,27.61,9,174,27.5,9,173,27.39,9,187,27.27,9,186,27.15,9,185,27.03,9
2025-08-14,77,NOIH1,4,0,68,24,9000,130,143,146,133.36,191,27.72,53.49,9,1.98,91,0.0,0,0,3,0,190,27.61,9,174,27.5,9,173,27.39,9,187,27.27,9,186,27.15,9,185,27.03,9,184,26.91,9
2025-08-15,78,NOIH1,4,0,68,24,9000,162,130,138,134.43,190,27.61,53.26,9,1.96,91,0.0,0,0,4,0,174,27.5,9,173,27.39,9,187,27.27,9,186,27.15,9,185,27.03,9,184,26.91,9,183,26.8,9
2025-08-16,79,NOIH1,4,0,68,24,9000,111,162,114,134.29,174,27.5,53.03,9,1.94,81,0.0,0,0,5,1,173,27.39,9,187,27.27,9,186,27.15,9,185,27.03,9,184,26.91,9,183,26.8,9,167,26.69,9
2025-08-17,80,NOIH1,4,0,68,24,9000,108,111,117,134.07,173,27.39,52.8,9,1.92,81,0.0,0,0,6,1,187,27.27,9,186,27.15,9,185,27.03,9,184,26.91,9,183,26.8,9,167,26.69,9,166,26.59,9
2025-08-18,81,NOIH1,4,0,68,24,9000,145,108,146,134.14,187,27.27,52.58,9,1.91,91,0.0,0,0,0,0,186,27.15,9,185,27.03,9,184,26.91,9,183,26.8,9,167,26.69,9,166,26.59,9,180,26.5,10
2025-08-19,82,NOIH1,4,0,68,24,9000,404,145,133,152.86,186,27.15,52.35,9,1.89,91,1.0,0,0,1,0,185,27.03,9,184,26.91,9,183,26.8,9,167,26.69,9,166,26.59,9,180,26.5,10,259,26.42,10
2025-08-20,83,NOIH1,4,0,68,24,9000,128,404,143,151.79,185,27.03,52.13,9,1.87,91,0.0,0,0,2,0,184,26.91,9,183,26.8,9,167,26.69,9,166,26.59,9,180,26.5,10,259,26.42,10,258,26.35,10
2025-08-21,84,NOIH1,4,0,68,24,9000,127,128,130,150.43,184,26.91,51.91,9,1.85,91,0.0,0,0,3,0,183,26.8,9,167,26.69,9,166,26.59,9,180,26.5,10,259,26.42,10,258,26.35,10,257,26.29,10
2025-08-22,85,NOIH1,4,0,68,24,9000,131,127,162,149.93,183,26.8,51.7,9,1.84,91,0.0,0,0,4,0,167,26.69,9,166,26.59,9,180,26.5,10,259,26.42,10,258,26.35,10,257,26.29,10,176,26.25,10
2025-08-23,86,NOIH1,4,0,68,24,9000,110,131,111,149.64,167,26.69,51.48,9,1.82,81,0.0,0,0,5,1,166,26.59,9,180,26.5,10,259,26.42,10,258,26.35,10,257,26.29,10,176,26.25,10,161,26.22,10
2025-08-24,87,NOIH1,4,0,68,24,9000,105,110,108,148.79,166,26.59,51.27,9,1.81,81,0.0,0,0,6,1,180,26.5,10,259,26.42,10,258,26.35,10,257,26.29,10,176,26.25,10,161,26.22,10,160,26.2,10
2025-08-25,88,NOIH1,4,0,68,24,9000,135,105,145,148.0,180,26.5,51.06,10,1.79,91,0.0,0,0,0,0,259,26.42,10,258,26.35,10,257,26.29,10,176,26.25,10,161,26.22,10,160,26.2,10,174,26.2,10
2025-08-26,89,NOIH1,4,0,68,24,9000,182,135,404,151.5,259,26.42,50.86,10,1.78,66,0.0,1,0,1,0,258,26.35,10,257,26.29,10,176,26.25,10,161,26.22,10,160,26.2,10,174,26.2,10,174,26.22,10
2025-08-27,90,NOIH1,4,0,68,24,9000,167,182,128,153.21,258,26.35,50.65,10,1.76,66,0.0,1,0,2,0,257,26.29,10,176,26.25,10,161,26.22,10,160,26.2,10,174,26.2,10,174,26.22,10,173,26.24,10
2025-08-28,91,NOIH1,4,0,68,24,9000,161,167,127,155.43,257,26.29,50.45,10,1.75,66,0.0,1,0,3,0,176,26.25,10,161,26.22,10,160,26.2,10,174,26.2,10,174,26.22,10,173,26.24,10,173,26.29,10
2025-08-29,92,NOIH1,4,0,68,24,9000,124,161,131,152.71,176,26.25,50.26,10,1.73,91,0.0,0,0,4,0,161,26.22,10,160,26.2,10,174,26.2,10,174,26.22,10,173,26.24,10,173,26.29,10,172,26.34,10
2025-08-30,93,NOIH1,4,0,68,24,9000,108,124,110,152.5,161,26.22,50.06,10,1.72,81,0.0,0,0,5,1,160,26.2,10,174,26.2,10,174,26.22,10,173,26.24,10,173,26.29,10,172,26.34,10,157,26.41,10
2025-08-31,94,NOIH1,4,0,68,24,9000,104,108,105,152.21,160,26.2,49.87,10,1.71,81,0.0,0,0,6,1,174,26.2,10,174,26.22,10,173,26.24,10,173,26.29,10,172,26.34,10,157,26.41,10,157,26.49,10
2025-09-01,95,NOIH1,4,0,68,24,9000,136,104,135,151.57,174,26.2,49.68,10,1.69,91,0.0,0,0,0,0,174,26.22,10,173,26.24,10,173,26.29,10,172,26.34,10,157,26.41,10,157,26.49,10,172,26.58,10
2025-09-02,96,NOIH1,4,0,68,24,9000,130,136,182,132.0,174,26.22,49.49,10,1.68,91,0.0,0,0,1,0,173,26.24,10,173,26.29,10,172,26.34,10,157,26.41,10,157,26.49,10,172,26.58,10,171,26.68,10
2025-09-03,97,NOIH1,4,0,68,24,9000,127,130,167,131.93,173,26.24,49.31,10,1.67,91,0.0,0,0,2,0,173,26.29,10,172,26.34,10,157,26.41,10,157,26.49,10,172,26.58,10,171,26.68,10,171,26.78,10
2025-09-04,98,NOIH1,4,0,68,24,9000,124,127,161,131.71,173,26.29,49.13,10,1.66,91,0.0,0,0,3,0,172,26.34,10,157,26.41,10,157,26.49,10,172,26.58,10,171,26.68,10,171,26.78,10,171,26.89,10
2025-09-05,99,NOIH1,4,0,68,24,9000,121,124,124,131.0,172,26.34,48.96,10,1.64,91,0.0,0,0,4,0,157,26.41,10,157,26.49,10,172,26.58,10,171,26.68,10,171,26.78,10,171,26.89,10,171,27.01,10
2025-09-06,100,NOIH1,4,0,68,24,9000,100,121,108,130.29,157,26.41,48.78,10,1.63,81,0.0,0,0,5,1,157,26.49,10,172,26.58,10,171,26.68,10,171,26.78,10,171,26.89,10,171,27.01,10,156,27.12,10
2025-09-07,101,NOIH1,4,0,68,24,9000,102,100,104,130.07,157,26.49,48.61,10,1.62,81,0.0,0,0,6,1,172,26.58,10,171,26.68,10,171,26.78,10,171,26.89,10,171,27.01,10,156,27.12,10,156,27.24,10
2025-09-08,102,NOIH1,4,0,68,24,9000,129,102,136,129.64,172,26.58,48.45,10,1.61,91,0.0,0,0,0,0,171,26.68,10,171,26.78,10,171,26.89,10,171,27.01,10,156,27.12,10,156,27.24,10,172,27.36,10
2025-09-09,103,NOIH1,4,0,68,24,9000,133,129,130,126.14,171,26.68,48.28,10,1.6,91,0.0,0,0,1,0,171,26.78,10,171,26.89,10,171,27.01,10,156,27.12,10,156,27.24,10,172,27.36,10,172,27.47,10
2025-09-10,104,NOIH1,4,0,68,24,9000,117,133,127,122.57,171,26.78,48.12,10,1.59,91,0.0,0,0,2,0,171,26.89,10,171,27.01,10,156,27.12,10,156,27.24,10,172,27.36,10,172,27.47,10,172,27.58,10
2025-09-11,105,NOIH1,4,0,68,24,9000,124,117,124,119.93,171,26.89,47.97,10,1.59,91,0.0,0,0,3,0,171,27.01,10,156,27.12,10,156,27.24,10,172,27.36,10,172,27.47,10,172,27.58,10,172,27.68,10
2025-09-12,106,NOIH1,4,0,68,24,9000,133,124,121,120.57,171,27.01,47.82,10,1.58,91,0.0,0,0,4,0,156,27.12,10,156,27.24,10,172,27.36,10,172,27.47,10,172,27.58,10,172,27.68,10,172,27.77,10
2025-09-13,107,NOIH1,4,0,68,24,9000,102,133,100,120.14,156,27.12,47.67,10,1.57,81,0.0,0,0,5,1,156,27.24,10,172,27.36,10,172,27.47,10,172,27.58,10,172,27.68,10,172,27.77,10,157,27.86,10
2025-09-14,108,NOIH1,4,0,68,24,9000,109,102,102,120.5,156,27.24,47.52,10,1.56,81,0.0,0,0,6,1,172,27.36,10,172,27.47,10,172,27.58,10,172,27.68,10,172,27.77,10,157,27.86,10,157,27.93,10
